Topic,Date,Rank
Taxation,08/03/2021,2
Copyright,08/03/2021,5
Censorship,08/03/2021,9
Politics,08/03/2021,7
Brand,08/03/2021,1
Access,08/03/2021,4
Privacy,08/03/2021,3
Content,08/03/2021,8
Behaviour,08/03/2021,10
Competition,08/03/2021,6
Competition,01/03/2021,8
Censorship,01/03/2021,10
Politics,01/03/2021,9
Access,01/03/2021,3
Privacy,01/03/2021,4
Taxation,01/03/2021,5
Behaviour,01/03/2021,6
Brand,01/03/2021,1
Copyright,01/03/2021,2
Content,01/03/2021,7
Access,22/02/2021,5
Competition,22/02/2021,4
Privacy,22/02/2021,6
Politics,22/02/2021,9
Brand,22/02/2021,3
Behaviour,22/02/2021,8
Copyright,22/02/2021,2
Content,22/02/2021,10
Censorship,22/02/2021,7
Taxation,22/02/2021,1
Copyright,15/02/2021,1
Politics,15/02/2021,10
Taxation,15/02/2021,2
Access,15/02/2021,4
Competition,15/02/2021,5
Privacy,15/02/2021,6
Brand,15/02/2021,3
Behaviour,15/02/2021,7
Content,15/02/2021,8
Censorship,15/02/2021,9
Taxation,08/02/2021,2
Access,08/02/2021,3
Brand,08/02/2021,5
Copyright,08/02/2021,1
Behaviour,08/02/2021,6
Censorship,08/02/2021,7
Content,08/02/2021,9
Privacy,08/02/2021,8
Competition,08/02/2021,4
Politics,08/02/2021,10
Competition,01/02/2021,5
Copyright,01/02/2021,1
Taxation,01/02/2021,2
Brand,01/02/2021,3
Privacy,01/02/2021,7
Censorship,01/02/2021,8
Behaviour,01/02/2021,4
Access,01/02/2021,6
Politics,01/02/2021,10
Content,01/02/2021,9
Access,25/01/2021,3
Brand,25/01/2021,2
Politics,25/01/2021,10
Behaviour,25/01/2021,8
Privacy,25/01/2021,6
Copyright,25/01/2021,1
Censorship,25/01/2021,5
Taxation,25/01/2021,4
Content,25/01/2021,9
Competition,25/01/2021,7
Brand,18/01/2021,4
Behaviour,18/01/2021,8
Competition,18/01/2021,5
Copyright,18/01/2021,2
Access,18/01/2021,3
Censorship,18/01/2021,7
Content,18/01/2021,9
Politics,18/01/2021,10
Privacy,18/01/2021,6
Taxation,18/01/2021,1
Behaviour,11/01/2021,5
Competition,11/01/2021,7
Content,11/01/2021,9
Brand,11/01/2021,4
Privacy,11/01/2021,6
Politics,11/01/2021,8
Censorship,11/01/2021,10
Copyright,11/01/2021,2
Access,11/01/2021,3
Taxation,11/01/2021,1
Politics,04/01/2021,7
Behaviour,04/01/2021,5
Copyright,04/01/2021,2
Taxation,04/01/2021,1
Access,04/01/2021,3
Competition,04/01/2021,6
Privacy,04/01/2021,8
Brand,04/01/2021,4
Content,04/01/2021,9
Censorship,04/01/2021,10
Competition,28/12/2020,6
Brand,28/12/2020,1
Content,28/12/2020,10
Censorship,28/12/2020,7
Behaviour,28/12/2020,5
Access,28/12/2020,4
Copyright,28/12/2020,3
Taxation,28/12/2020,2
Politics,28/12/2020,9
Privacy,28/12/2020,8
Competition,21/12/2020,8
Politics,21/12/2020,10
Censorship,21/12/2020,6
Content,21/12/2020,9
Taxation,21/12/2020,1
Brand,21/12/2020,3
Privacy,21/12/2020,5
Behaviour,21/12/2020,4
Access,21/12/2020,2
Copyright,21/12/2020,7
Politics,14/12/2020,10
Brand,14/12/2020,4
Censorship,14/12/2020,8
Copyright,14/12/2020,1
Access,14/12/2020,3
Content,14/12/2020,5
Behaviour,14/12/2020,6
Taxation,14/12/2020,2
Competition,14/12/2020,7
Privacy,14/12/2020,9
Brand,07/12/2020,2
Taxation,07/12/2020,1
Access,07/12/2020,4
Content,07/12/2020,8
Censorship,07/12/2020,6
Behaviour,07/12/2020,7
Privacy,07/12/2020,5
Copyright,07/12/2020,3
Competition,07/12/2020,10
Politics,07/12/2020,9
Brand,30/11/2020,2
Copyright,30/11/2020,1
Competition,30/11/2020,8
Taxation,30/11/2020,4
Censorship,30/11/2020,7
Content,30/11/2020,9
Politics,30/11/2020,10
Behaviour,30/11/2020,6
Access,30/11/2020,3
Privacy,30/11/2020,5
Brand,23/11/2020,3
Competition,23/11/2020,6
Taxation,23/11/2020,2
Privacy,23/11/2020,7
Politics,23/11/2020,10
Censorship,23/11/2020,8
Behaviour,23/11/2020,5
Copyright,23/11/2020,1
Content,23/11/2020,9
Access,23/11/2020,4
Taxation,16/11/2020,2
Competition,16/11/2020,7
Access,16/11/2020,5
Censorship,16/11/2020,9
Privacy,16/11/2020,4
Copyright,16/11/2020,1
Brand,16/11/2020,3
Content,16/11/2020,8
Behaviour,16/11/2020,6
Politics,16/11/2020,10
Privacy,09/11/2020,5
Competition,09/11/2020,4
Access,09/11/2020,3
Taxation,09/11/2020,1
Brand,09/11/2020,2
Politics,09/11/2020,10
Content,09/11/2020,8
Behaviour,09/11/2020,6
Copyright,09/11/2020,7
Censorship,09/11/2020,9
Brand,02/11/2020,3
Taxation,02/11/2020,2
Competition,02/11/2020,4
Censorship,02/11/2020,9
Access,02/11/2020,5
Politics,02/11/2020,10
Content,02/11/2020,8
Privacy,02/11/2020,7
Copyright,02/11/2020,1
Behaviour,02/11/2020,6
Access,26/10/2020,5
Behaviour,26/10/2020,6
Censorship,26/10/2020,10
Taxation,26/10/2020,1
Content,26/10/2020,8
Politics,26/10/2020,9
Privacy,26/10/2020,4
Copyright,26/10/2020,2
Brand,26/10/2020,3
Competition,26/10/2020,7
Competition,19/10/2020,10
Taxation,19/10/2020,2
Copyright,19/10/2020,1
Brand,19/10/2020,4
Content,19/10/2020,6
Privacy,19/10/2020,3
Access,19/10/2020,7
Censorship,19/10/2020,8
Politics,19/10/2020,9
Behaviour,19/10/2020,5
